Timestamp,Temperature,Humidity,Rainfall,WindSpeed,Pressure
2025-03-01 00:00:00,20.62,86,0.0,12.55,1023.75
2025-03-01 01:00:00,29.26,87,0.0,5.05,1006.44
2025-03-01 02:00:00,25.98,84,10.0,22.37,1038.56
2025-03-01 03:00:00,23.98,52,15.0,6.69,1021.12
2025-03-01 04:00:00,17.34,30,15.0,16.95,1000.58
2025-03-01 05:00:00,17.34,85,0.0,24.73,1029.98
2025-03-01 06:00:00,15.87,55,5.0,15.73,1016.94
2025-03-01 07:00:00,27.99,87,10.0,23.48,1017.41
2025-03-01 08:00:00,24.02,87,10.0,9.72,1013.68
2025-03-01 09:00:00,25.62,81,0.0,20.2,1014.79
2025-03-01 10:00:00,15.31,47,15.0,15.63,1033.57
2025-03-01 11:00:00,29.55,53,0.0,19.41,987.21
2025-03-01 12:00:00,27.49,81,0.0,6.25,1003.41
2025-03-01 13:00:00,18.19,49,0.0,7.95,985.29
2025-03-01 14:00:00,17.73,40,0.0,7.66,1032.73
2025-03-01 15:00:00,17.75,63,10.0,18.74,999.06
2025-03-01 16:00:00,19.56,86,0.0,21.89,1042.82
2025-03-01 17:00:00,22.87,71,0.0,19.99,1016.86
2025-03-01 18:00:00,21.48,64,5.0,5.61,1036.05
2025-03-01 19:00:00,19.37,35,0.0,22.34,1048.53
2025-03-01 20:00:00,24.18,66,0.0,12.08,1038.79
2025-03-01 21:00:00,17.09,89,0.0,12.94,1040.69
2025-03-01 22:00:00,19.38,38,0.0,7.1,1008.56
2025-03-01 23:00:00,20.5,61,0.0,19.75,1018.62
2025-03-02 00:00:00,21.84,82,0.0,8.65,997.77
2025-03-02 01:00:00,26.78,74,0.0,16.28,993.73
2025-03-02 02:00:00,18.0,71,0.0,21.81,1015.39
2025-03-02 03:00:00,22.71,72,0.0,6.78,1021.65
2025-03-02 04:00:00,23.89,51,5.0,15.71,1003.75
2025-03-02 05:00:00,15.7,47,0.0,9.66,1019.86
2025-03-02 06:00:00,24.11,78,0.0,11.86,1042.12
2025-03-02 07:00:00,17.56,78,0.0,14.48,1018.97
2025-03-02 08:00:00,15.98,82,10.0,12.1,1030.46
2025-03-02 09:00:00,29.23,84,15.0,17.98,1036.37
2025-03-02 10:00:00,29.48,60,0.0,14.59,1049.21
2025-03-02 11:00:00,27.13,60,0.0,16.68,1022.22
2025-03-02 12:00:00,19.57,77,0.0,19.74,1036.48
2025-03-02 13:00:00,16.47,68,5.0,16.15,1047.39
2025-03-02 14:00:00,25.26,72,0.0,16.73,1046.11
2025-03-02 15:00:00,21.6,77,5.0,16.29,989.88
2025-03-02 16:00:00,16.83,83,0.0,12.58,1008.45
2025-03-02 17:00:00,22.43,50,5.0,11.75,1002.68
2025-03-02 18:00:00,15.52,52,5.0,22.99,986.08
2025-03-02 19:00:00,28.64,35,10.0,17.15,1024.33
2025-03-02 20:00:00,18.88,64,0.0,9.89,1031.51
2025-03-02 21:00:00,24.94,32,5.0,14.96,1039.37
2025-03-02 22:00:00,19.68,57,10.0,11.61,988.59
2025-03-02 23:00:00,22.8,62,0.0,23.67,1041.35
2025-03-03 00:00:00,23.2,47,0.0,5.15,1025.0
2025-03-03 01:00:00,17.77,65,5.0,9.51,1029.28
2025-03-03 02:00:00,29.54,31,15.0,12.31,1043.74
2025-03-03 03:00:00,26.63,32,0.0,14.76,1023.73
2025-03-03 04:00:00,29.09,79,0.0,22.02,1003.51
2025-03-03 05:00:00,28.42,51,0.0,6.76,1037.76
2025-03-03 06:00:00,23.97,37,10.0,21.12,1005.41
2025-03-03 07:00:00,28.83,61,0.0,6.11,982.4
2025-03-03 08:00:00,16.33,76,0.0,21.85,1038.15
2025-03-03 09:00:00,17.94,42,5.0,6.03,1004.16
2025-03-03 10:00:00,15.68,67,5.0,5.36,1034.17
2025-03-03 11:00:00,19.88,35,15.0,18.94,1005.39
2025-03-03 12:00:00,20.83,33,0.0,24.95,1040.27
2025-03-03 13:00:00,19.07,61,10.0,22.93,995.37
2025-03-03 14:00:00,27.43,62,0.0,16.52,1048.22
2025-03-03 15:00:00,20.35,68,0.0,23.35,1034.58
2025-03-03 16:00:00,19.21,73,15.0,5.11,988.0
2025-03-03 17:00:00,23.14,88,0.0,24.5,1019.6
2025-03-03 18:00:00,17.11,60,0.0,14.81,1048.98
2025-03-03 19:00:00,27.03,49,5.0,19.46,1012.97
2025-03-03 20:00:00,16.12,77,0.0,21.42,992.75
2025-03-03 21:00:00,29.8,46,15.0,19.37,1013.93
2025-03-03 22:00:00,26.58,56,0.0,15.7,1015.87
2025-03-03 23:00:00,17.98,34,10.0,14.53,1031.92
2025-03-04 00:00:00,15.08,31,0.0,21.77,1028.92
2025-03-04 01:00:00,27.23,87,0.0,9.1,1008.18
2025-03-04 02:00:00,25.6,80,0.0,24.36,995.26
2025-03-04 03:00:00,25.94,71,5.0,19.22,1025.15
2025-03-04 04:00:00,26.57,54,0.0,8.99,1009.52
2025-03-04 05:00:00,16.11,40,0.0,19.72,989.26
2025-03-04 06:00:00,20.38,39,0.0,15.6,1043.04
2025-03-04 07:00:00,16.74,45,0.0,19.14,1028.39
2025-03-04 08:00:00,27.95,62,15.0,20.36,1027.82
2025-03-04 09:00:00,24.35,72,0.0,6.75,1037.58
2025-03-04 10:00:00,19.96,69,5.0,15.12,1017.08
2025-03-04 11:00:00,15.95,46,15.0,23.64,1037.05
2025-03-04 12:00:00,19.66,87,10.0,11.41,1014.87
2025-03-04 13:00:00,19.88,74,0.0,16.88,984.7
2025-03-04 14:00:00,25.94,63,0.0,12.38,1008.37
2025-03-04 15:00:00,24.56,66,5.0,14.09,1014.82
2025-03-04 16:00:00,28.31,55,15.0,15.97,1030.41
2025-03-04 17:00:00,22.08,44,5.0,15.98,987.46
2025-03-04 18:00:00,16.79,51,10.0,9.03,989.8
2025-03-04 19:00:00,25.7,75,0.0,18.69,998.46
2025-03-04 20:00:00,26.41,30,5.0,6.76,998.65
2025-03-04 21:00:00,23.42,36,15.0,7.78,1031.25
2025-03-04 22:00:00,26.56,32,5.0,5.05,997.55
